event_id,timestamp,user_id,user_name,department,platform,file_accessed,time_gap_sec,activity_rate_per_hr,ewma_previous,ewma_new,ewma_deviation,ewma_anomaly_flagged,lstm_score,isolation_forest_score,hybrid_anomaly_score,hybrid_anomaly_flagged,pii_sensitivity_score,sbrs_value,sbrs_category,base_action,hybrid_action,is_true_threat,ewma_correct,hybrid_correct
ANOM-00429,2026-04-18 20:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,onboarding_guide_01.png,7200,1.0,2.077,1.7539,-0.5185,False,0.0124,0.0601,0.0482,False,22,0.2465,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00430,2026-04-18 21:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,salary_band_53.docx,3600,1.0,1.754,1.5277,-0.4298,False,0.0114,0.0,0.0028,False,63,0.6344,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00432,2026-04-18 23:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,template_93.png,7200,1.0,1.528,1.3694,-0.3454,False,0.0,0.0,0.0,False,21,0.21,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00434,2026-04-19 01:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,vendor_contract_88.pdf,7200,1.0,1.369,1.2586,-0.2698,False,0.2809,0.3671,0.3456,False,63,1.1743,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00438,2026-04-19 05:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,merger_memo_56.pdf,14400,1.0,1.259,1.181,-0.2055,False,0.0,0.0069,0.0052,False,81,0.8205,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00443,2026-04-19 10:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,sprint_notes_24.csv,18000,1.0,1.181,1.1267,-0.1533,False,0.0,0.1496,0.1122,False,18,0.2305,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00444,2026-04-19 11:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,team_sync_60.docx,3600,4.0,1.127,1.9887,2.5502,True,0.0,0.0,0.0,False,21,0.21,SAFE,BLOCK,PERMIT,False,False,True
ANOM-00445,2026-04-19 12:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,onboarding_guide_38.xlsx,3600,1.0,1.989,1.6921,-0.4972,False,0.1476,0.385,0.3257,False,27,0.4898,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00446,2026-04-19 13:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,board_minutes_51.csv,3600,2.0,1.692,1.7845,0.182,False,0.0601,0.0,0.015,False,86,0.8923,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00447,2026-04-19 14:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,vendor_contract_57.docx,3600,2.0,1.784,1.8491,0.1208,False,0.026,0.0,0.0065,False,61,0.6199,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00449,2026-04-19 16:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,sprint_notes_15.xlsx,7200,2.0,1.849,1.8944,0.0816,False,0.0,0.0,0.0,False,25,0.25,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00450,2026-04-19 17:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,salary_band_70.pdf,3600,3.0,1.894,2.2261,0.5836,False,0.0,0.0,0.0,False,63,0.63,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00451,2026-04-19 18:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,brochure_48.xlsx,3600,4.0,2.226,2.7582,0.7969,False,0.0897,0.0,0.0224,False,7,0.0739,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00454,2026-04-19 21:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,logo_pack_66.csv,10800,1.0,2.758,2.2308,-0.6375,False,0.1066,0.0,0.0267,False,4,0.0427,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00458,2026-04-20 01:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,salary_band_02.xlsx,14400,1.0,2.231,1.8615,-0.5517,False,0.0,0.0,0.0,False,62,0.62,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00459,2026-04-20 02:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,vendor_contract_40.csv,3600,1.0,1.862,1.6031,-0.4628,False,0.0,0.0,0.0,False,72,0.72,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00464,2026-04-20 07:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,sprint_notes_71.csv,18000,2.0,1.603,1.7222,0.2476,False,0.0,0.3526,0.2644,False,19,0.3156,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00465,2026-04-20 08:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,customer_list_53.csv,3600,19.0,1.722,6.9055,10.0327,True,0.1951,0.0,0.0488,False,54,0.6059,SAFE,BLOCK,PERMIT,False,False,True
ANOM-00466,2026-04-20 09:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,salary_band_01.png,3600,7.0,6.906,6.9339,0.0137,False,0.0488,0.0,0.0122,False,75,0.7729,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00467,2026-04-20 10:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,audit_report_94.png,3600,7.0,6.934,6.9537,0.0095,False,0.0725,0.0002,0.0183,False,85,0.8889,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00468,2026-04-20 11:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,customer_list_14.docx,3600,31.0,6.954,14.1676,3.4581,True,0.6181,0.9529,0.8692,True,61,1.9355,HIGH-RISK,BLOCK,BLOCK,True,True,True
ANOM-00469,2026-04-20 12:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,financials_q_12.docx,3600,10.0,14.168,12.9173,-0.2942,False,0.6478,0.869,0.8137,True,59,1.7902,SENSITIVE,PERMIT,ALERT,True,False,True
ANOM-00470,2026-04-20 13:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,sprint_notes_50.xlsx,3600,4.0,12.917,10.2421,-0.6903,False,0.6893,0.8495,0.8095,True,28,0.8466,SAFE,PERMIT,PERMIT,True,False,True
ANOM-00471,2026-04-20 14:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,salary_band_69.xlsx,3600,11.0,10.242,10.4695,0.074,False,0.7277,0.866,0.8315,True,49,1.5086,SENSITIVE,PERMIT,ALERT,True,False,True
ANOM-00472,2026-04-20 15:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,roadmap_01.xlsx,3600,11.0,10.469,10.6286,0.0507,False,0.7153,0.0,0.1788,False,35,0.5065,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00473,2026-04-20 16:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,customer_list_49.csv,3600,24.0,10.629,14.64,1.2581,False,0.5824,0.1702,0.2732,False,59,0.993,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00474,2026-04-20 17:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,financials_q_11.png,3600,9.0,14.64,12.948,-0.3852,False,0.5182,0.3329,0.3792,False,70,1.3636,SENSITIVE,PERMIT,ALERT,False,True,True
ANOM-00475,2026-04-20 18:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,sprint_notes_20.docx,3600,14.0,12.948,13.2636,0.0812,False,0.3402,0.0,0.085,False,19,0.2304,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00476,2026-04-20 19:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,audit_report_39.xlsx,3600,2.0,13.264,9.8845,-0.8492,False,0.1925,0.0,0.0481,False,86,0.9634,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00478,2026-04-20 21:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,runbook_46.png,7200,1.0,9.885,7.2192,-0.8988,False,0.0275,0.3564,0.2742,False,34,0.5731,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00480,2026-04-20 23:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,roadmap_51.pdf,7200,1.0,7.219,5.3534,-0.8615,False,0.0,0.0,0.0,False,29,0.29,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00482,2026-04-21 01:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,pentest_findings_08.png,7200,1.0,5.353,4.0474,-0.8132,False,0.0016,0.0,0.0004,False,90,0.9009,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00485,2026-04-21 04:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,financials_q_91.xlsx,10800,2.0,4.047,3.4332,-0.5059,False,0.0,0.0,0.0,False,59,0.59,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00487,2026-04-21 06:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,financials_q_23.png,7200,1.0,3.433,2.7032,-0.7087,False,0.0,0.0,0.0,False,57,0.57,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00488,2026-04-21 07:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,customer_list_10.xlsx,3600,1.0,2.703,2.1923,-0.6301,False,0.0,0.0,0.0,False,61,0.61,SAFE,PERMIT,PERMIT,False,True,True
ANOM-00489,2026-04-21 08:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,financials_q_32.docx,3600,13.0,2.192,5.4346,4.93,True,0.0338,0.0,0.0084,False,60,0.6126,SAFE,BLOCK,PERMIT,False,False,True
ANOM-00490,2026-04-21 09:00:00,USR001,Allison Hill,Finance,Microsoft OneDrive,vendor_contract_72.xlsx,3600,9.0,5.435,6.5042,0.6561,False,0.1142,0.0,0.0285,False,51,0.5463,SAFE,PERMIT,PERMIT,False,True,True
